activityId,user,date,time,riskScore,integration,policiesBreached,values,status,managerAction
"01JHH7WVXCNK5YE83V5VBTBGEY",jacob.moore@zenith.com,13/01/2025,17:55,580,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailContainedSpreadsheets""]}","{""destinations"":[""jmoore73@gmail.com""]}",underReview,
"01JHH7WVYSTFZXPSKY3YJ6KKH4",nora.baker@zenith.com,13/01/2025,17:40,1620,si-cloud,"{""dataLeakage"":[""cloudUploadContainedDocuments"",""cloudUploadContainedPDFs"",""cloudUploadContainedPresentations"",""cloudUploadContainedZipFiles"",""cloudUploadContainedSpreadsheets""],""pii"":[""cloudUploadContainedPII""],""sensitive"":[""cloudUploadContainedConfidentialData""]}","{""cloudProvider"":""Apple iCloud""}",underReview,
"01JHH7WWMZAXTXKX4GA6HTPFJ3",victoria.campbell@zenith.com,13/01/2025,17:05,1720,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""financial"":[""emailContainedFinancialData""]}","{""destinations"":[""clients@hammondaccounting.com""]}",trusted,
"01JHH7WW1GV5P7KQR8694KH0Q7",charlotte.davis@zenith.com,13/01/2025,16:57,520,si-email,"{""dataLeakage"":[""emailWasSentToPersonalEmailAddress"",""emailContainedDocuments""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.davis@gmail.com""]}",underReview,
"01JHH7WVZRD5MWDX2RTG9YC7X7",ryan.powell@zenith.com,13/01/2025,16:24,2200,si-usb,"{""dataLeakage"":[""usbContainedDocuments"",""usbContainedPDFs"",""usbContainedPresentations"",""usbContainedZipFiles"",""usbContainedSpreadsheets""],""phi"":[""usbContainedPHI""],""sensitive"":[""usbContainedConfidentialData""],""userAtRisk"":[""usbEnhancedMonitoring""],""fraud"":[""usbContainedFraudIndicators""]}","{""device"":""Sandisk 64Gb""}",underReview,
"01JHH7WW0NRGP3RY5Q4RS6ZZ6Y",lily.evans@zenith.com,13/01/2025,15:48,2200,si-email,"{""dataLeakage"":[""emailWasSentToExternalDomain"",""emailContainedZipFiles""]}","{""destinations"":[""john.mac@designwizards.com""]}",underReview,
"01JHH7WW0863GYAKZVWEXQG7DK",zoe.hernandez@zenith.com,13/01/2025,15:39,2110,si-email,"{""dataLeakage"":[""emailWasSentToPersonalEmailAddress"",""emailContainedDocuments""],""phi"":[""emailContainedPHI""]}","{""destinations"":[""zoe.hernandez@hotmail.com""]}",underReview,
"01JHH7WWJVJ8PCSE6PZP66YZ1K",andrew.richardson@zenith.com,13/01/2025,15:15,1510,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain"",""emailContainedPDFs""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",nonConcern,
"01JHH7WVXKTEPRQM25YYBG04HM",jacob.moore@zenith.com,13/01/2025,14:45,1520,si-cloud,"{""dataLeakage"":[""cloudUploadContainedDocuments"",""cloudUploadContainedPDFs"",""cloudUploadContainedZipFiles"",""cloudUploadContainedSpreadsheets"",""cloudUploadContainedPresentations""],""pii"":[""cloudUploadContainedPII""]}","{""cloudProvider"":""Dropbox""}",underReview,
"01JHH7WVYJTTGAGZVHD667HRQK",nora.baker@zenith.com,13/01/2025,14:00,500,si-email,"{""dataLeakage"":[""emailContainedPDFs"",""emailContainedSpreadsheets""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""aaron.daniels@bigpond.com""]}",underReview,
"01JHH7WXF1HKPYTES6F3SDSWQ5",harper.bailey@zenith.com,13/01/2025,13:51,1880,si-usb,"{""financial"":[""usbContainedFinancialData""],""sensitive"":[""usbContainedRestrictedData""]}","{""device"":""Sandisk 128Gb""}",concern,
